gene	logFC_combined	AveExpr	t	P.Value	adj.P.Val	logFC_pt3	logFC_pt7	same_direction
AZGP1	0.11209434197153113	7.697385198183308	0.27745900764466125	0.7937611689799713	0.9997997501473126	0.8888155321673885	-0.673350457149656	FALSE
CLEC3B	0.27819118470797216	3.6440284614971032	0.27729015017938063	0.7938828352594784	0.9997997501473126	-1.7190923514074772	2.3599134089317535	FALSE
NDUFA13	-0.05239622681997373	6.628319663743714	-0.2772534388759852	0.793909287633328	0.9997997501473126	0.13359453336090166	-0.23911101107836696	FALSE
PREB	0.06042241926325016	6.322571585334697	0.2772487576824363	0.7939126606962486	0.9997997501473126	0.3491437676652822	-0.22626652790629365	FALSE
FEZ2	0.050210046113429566	5.860620840384357	0.27720809514386807	0.7939419605609759	0.9997997501473126	0.11111538502299023	-0.014677495072525915	FALSE
CPTP	0.055945951006237823	5.635274254470272	0.27713269493135106	0.7939962921112984	0.9997997501473126	0.23431904542505233	-0.11185840136501302	FALSE
FRMPD3	-0.17980716988074646	-0.7805329198806454	-0.27697917127933436	0.794106921722141	0.9997997501473126	-0.9130004941908232	0.3599045177041235	FALSE
MTG2	-0.0625743130769158	5.147205566326594	-0.276959029230109	0.7941214365639522	0.9997997501473126	0.1543083430308343	-0.2826102132188524	FALSE
GSPT1	-0.06539803324981995	5.125787349495284	-0.27682666453770366	0.7942168241452293	0.9997997501473126	0.18868799691715132	-0.33151551547205127	FALSE
AGBL1	-0.2119628734329189	-1.36425984147525	-0.27673307907014233	0.7942842683176665	0.9997997501473126	-1.1168425191554912	0.7690171830258619	FALSE
PRKDC	-0.058561540057658214	6.520299897921575	-0.27671107639786807	0.7943001252728616	0.9997997501473126	0.20914259102688693	-0.3341992452604199	FALSE
ZNF658	0.08001640141867279	4.427904517386627	0.2766784560772286	0.7943236344019905	0.9997997501473126	-0.27907596679498514	0.44193503051206395	FALSE
CFH	-0.22633940077868694	5.131809207035458	-0.2766238522918151	0.7943629873587869	0.9997997501473126	-1.8279320717256322	1.533468704849299	FALSE
SELENOI	0.06625834098041945	5.656628579532606	0.27658355374533905	0.7943920309860675	0.9997997501473126	0.3969754402261554	-0.2531289940288737	FALSE
PEX12	-0.11834351546470574	1.6008641099740566	-0.2765565799592785	0.7944114715223138	0.9997997501473126	-0.3057267384836184	0.04214797126700187	FALSE
MCMBP	-0.058509104736549966	6.228022638853363	-0.2765537991625091	0.7944134757069603	0.9997997501473126	0.19535247317371862	-0.32658964621577447	FALSE
ABO	0.10639961558682809	2.2148377544844227	0.276391974061847	0.7945301099974016	0.9997997501473126	-0.008080276104695194	0.22380841477125024	FALSE
